,angle,VV_db,VV_db2,VV_var_db,VV_var_db2,GPM,P6d
2020-08-26,34.26987838745117,-14.5015973100323,-13.56276967851786,-29.00000179603543,-33.68509033317417,1.4413338436279446,0.102
2020-08-26,34.26987838745117,-14.5015973100323,-13.56276967851786,-29.00000179603543,-33.68509033317417,1.4413338436279446,0.102
2020-09-01,34.25924682617188,-13.56276967851786,-14.05339221644715,-33.68509033317417,-34.52033467944824,5.177813868504018,0.0
2020-09-01,34.25924682617188,-13.56276967851786,-14.05339221644715,-33.68509033317417,-34.52033467944824,5.177813868504018,0.0
2020-09-07,34.27269744873047,-14.05339221644715,-11.68148941563496,-34.52033467944824,-31.49983746616079,15.507294536444533,0.68
2020-09-07,34.27269744873047,-14.05339221644715,-11.68148941563496,-34.52033467944824,-31.49983746616079,15.507294536444533,0.68
2020-09-13,34.26157379150391,-11.68148941563496,-12.29516935180836,-31.49983746616079,-28.94565942867953,10.799719692673534,46.245
2020-09-13,34.26157379150391,-11.68148941563496,-12.29516935180836,-31.49983746616079,-28.94565942867953,10.799719692673534,46.245
2020-09-19,34.27183532714844,-12.29516935180836,-11.16659220510289,-28.94565942867953,-29.89734250007343,49.32351177773671,61.92299999999999
2020-09-19,34.27183532714844,-12.29516935180836,-11.16659220510289,-28.94565942867953,-29.89734250007343,49.32351177773671,61.92299999999999
2020-09-25,34.26045989990234,-11.16659220510289,-10.81017174692954,-29.89734250007343,-31.75044934544001,30.210232929326594,50.511
2020-09-25,34.26045989990234,-11.16659220510289,-10.81017174692954,-29.89734250007343,-31.75044934544001,30.210232929326594,50.511
2020-10-01,34.27070617675781,-10.81017174692954,-13.05747904719293,-31.75044934544001,-36.67724827465206,22.464505657699192,38.492
2020-10-01,34.27070617675781,-10.81017174692954,-13.05747904719293,-31.75044934544001,-36.67724827465206,22.464505657699192,38.492
2020-10-07,34.25963973999023,-13.05747904719293,-11.15049910480185,-36.67724827465206,-28.91264431365356,38.59626285312524,85.56400000000001
2020-10-07,34.25963973999023,-13.05747904719293,-11.15049910480185,-36.67724827465206,-28.91264431365356,38.59626285312524,85.56400000000001
2020-10-13,34.27014923095703,-11.15049910480185,-11.27928504949074,-28.91264431365356,-34.28217686718463,59.307405899860896,65.169
2020-10-13,34.27014923095703,-11.15049910480185,-11.27928504949074,-28.91264431365356,-34.28217686718463,59.307405899860896,65.169
2020-10-19,34.25880432128906,-11.27928504949074,-11.10655208679391,-34.28217686718463,-28.53736072987574,9.99761071454924,0.374
2020-10-19,34.25880432128906,-11.27928504949074,-11.10655208679391,-34.28217686718463,-28.53736072987574,9.99761071454924,0.374
2020-10-25,34.26925659179688,-11.10655208679391,-12.38411553644318,-28.53736072987574,-36.23721792155695,32.47747471976567,20.202
2020-10-25,34.26925659179688,-11.10655208679391,-12.38411553644318,-28.53736072987574,-36.23721792155695,32.47747471976567,20.202
2020-10-31,34.25788879394531,-12.38411553644318,-12.39802033854812,-36.23721792155695,-33.5487175134184,27.688204337131538,4.471
2020-10-31,34.25788879394531,-12.38411553644318,-12.39802033854812,-36.23721792155695,-33.5487175134184,27.688204337131538,4.471
2020-11-06,34.26902389526367,-12.39802033854812,-12.12222571121496,-33.5487175134184,-36.27973330998656,27.814387832651846,6.309
2020-11-06,34.26902389526367,-12.39802033854812,-12.12222571121496,-33.5487175134184,-36.27973330998656,27.814387832651846,6.309
2020-11-12,34.25692749023438,-12.12222571121496,-12.38126953180236,-36.27973330998656,-28.28369572461749,6.468107358319685,3.093
2020-11-12,34.25692749023438,-12.12222571121496,-12.38126953180236,-36.27973330998656,-28.28369572461749,6.468107358319685,3.093
2020-11-18,34.26916122436523,-12.38126953180236,-14.40188989429198,-28.28369572461749,-34.47562052763757,8.35744670004351,1.635
2020-11-18,34.26916122436523,-12.38126953180236,-14.40188989429198,-28.28369572461749,-34.47562052763757,8.35744670004351,1.635
2020-11-24,34.25802993774414,-14.40188989429198,-12.22260838277262,-34.47562052763757,-39.53468731217103,44.02716993325157,58.491
2020-11-24,34.25802993774414,-14.40188989429198,-12.22260838277262,-34.47562052763757,-39.53468731217103,44.02716993325157,58.491
2020-11-30,34.26866149902344,-12.22260838277262,-12.601283942464,-39.53468731217103,-36.53107625516691,0.0,0.289
2020-11-30,34.26866149902344,-12.22260838277262,-12.601283942464,-39.53468731217103,-36.53107625516691,0.0,0.289
2020-12-06,34.25757598876953,-12.601283942464,-13.73614877173963,-36.53107625516691,-35.90305897396003,7.13104011528776,10.406
2020-12-06,34.25757598876953,-12.601283942464,-13.73614877173963,-36.53107625516691,-35.90305897396003,7.13104011528776,10.406
2020-12-12,34.26848983764648,-13.73614877173963,-13.62024352588225,-35.90305897396003,-35.28930959350618,30.011463148053735,24.04999999999999
